,start_date,start_hour,start_station_id,start_station_name,start_station_cap,start_station_has_kiosk,end_station_id,end_station_name,end_station_cap,end_station_has_kiosk,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,sum_duration_sec,sum_duration_min,trip_count,subscriber_trip_count,customer_trip_count,datetime_hour,datetime_mod,temperature,wind,precip_,start_dow_Friday,start_dow_Monday,start_dow_Saturday,start_dow_Sunday,start_dow_Thursday,start_dow_Tuesday,start_dow_Wednesday,trip_count_predicted
118648,2019-01-31,5,136,23rd St at San Bruno Ave,15.0,True,129,Harrison St at 20th St,19.0,True,37.7544356,-122.40436389999999,37.758862,-122.412544,339,5.65,1,0,1,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0155241
118649,2019-01-31,5,136,23rd St at San Bruno Ave,15.0,True,368,Myrtle St at Polk St,27.0,True,37.7544356,-122.40436389999999,37.785433827868225,-122.41962164640428,694,11.566666666666665,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0193045
118650,2019-01-31,5,137,Jersey St at Castro St,19.0,True,223,16th St Mission BART Station 2,19.0,True,37.750506,-122.4339496,37.764765215497704,-122.42009103298186,586,9.76666666666667,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0155241
118651,2019-01-31,5,144,Precita Park,15.0,True,363,Salesforce Transit Center (Natoma St at 2nd St),35.0,True,37.747299600000005,-122.41140290000001,37.78749210438603,-122.3982846736908,1232,20.53333333333333,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,0.9924537
118652,2019-01-31,5,223,16th St Mission BART Station 2,19.0,True,99,Folsom St at 15th St,19.0,True,37.764765215497704,-122.42009103298186,37.7670373,-122.41544250000001,131,2.1833333333333327,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0155241
118653,2019-01-31,5,26,1st St at Folsom St,23.0,True,58,Market St at 10th St,31.0,True,37.787290000000006,-122.39438,37.776619000000004,-122.41738500000001,1426,23.766666666666666,2,2,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.1135452
118654,2019-01-31,5,27,Beale St at Harrison St,23.0,True,17,Embarcadero BART Station (Beale St at Market St),27.0,True,37.7880593,-122.39186480000001,37.792251,-122.39708600000002,158,2.6333333333333333,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0403326
118655,2019-01-31,5,28,The Embarcadero at Bryant St,19.0,True,23,The Embarcadero at Steuart St,23.0,True,37.78716801474664,-122.38809792330359,37.791464000000005,-122.391034,131,2.1833333333333327,1,0,1,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0349593
118656,2019-01-31,5,285,Webster St at O'Farrell St,27.0,True,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23.0,True,37.78352083526095,-122.43115782737732,37.776639200000005,-122.3955263,847,14.116666666666667,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.1812057
118657,2019-01-31,5,3,Powell St BART Station (Market St at 4th St),35.0,True,34,Father Alfred E Boeddeker Park,23.0,True,37.78637526861584,-122.40490436553955,37.78398789999999,-122.41240800000001,170,2.833333333333333,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0236247
118658,2019-01-31,5,323,Broadway at Kearny,19.0,True,132,24th St at Chattanooga St,19.0,True,37.79801364395978,-122.40595042705534,37.751819399999995,-122.42661389999999,1289,21.48333333333333,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0560055
118659,2019-01-31,5,324,Union Square (Powell St at Post St),27.0,True,81,Berry St at 4th St,35.0,True,37.78829997815083,-122.40853071212769,37.77588,-122.39317,617,10.283333333333333,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0621475
118660,2019-01-31,5,345,Hubbell St at 16th St,27.0,True,19,Post St at Kearny St,35.0,True,37.76647421515012,-122.39829540252686,37.788975,-122.403452,588,9.8,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0021762
118661,2019-01-31,5,349,Howard St at Mary St,31.0,True,4,Cyril Magnin St at Ellis St,35.0,True,37.78100971717512,-122.40566611289978,37.78588062694133,-122.4089150084319,158,2.6333333333333333,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0328048
118662,2019-01-31,5,368,Myrtle St at Polk St,27.0,True,44,Civic Center/UN Plaza BART Station (Market St at McAllister St),31.0,True,37.785433827868225,-122.41962164640428,37.7810737,-122.4117382,339,5.65,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0142915
118663,2019-01-31,5,41,Golden Gate Ave at Polk St,31.0,True,90,Townsend St at 7th St,27.0,True,37.78127,-122.41873999999999,37.771058000000004,-122.402717,2147,35.78333333333333,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0393405
118664,2019-01-31,5,47,4th St at Harrison St,31.0,True,364,China Basin St at 3rd St,31.0,True,37.78095459960753,-122.39974915981293,37.7719996,-122.38996979999999,260,4.333333333333333,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0241771
118665,2019-01-31,5,5,Powell St BART Station (Market St at 5th St),35.0,True,365,Turk St at Fillmore St,23.0,True,37.78389935708493,-122.40844488143921,37.78045005996349,-122.43194639682768,661,11.016666666666667,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0203152
118666,2019-01-31,5,58,Market St at 10th St,31.0,True,102,Irwin St at 8th St,27.0,True,37.776619000000004,-122.41738500000001,37.7668828,-122.3995794,497,8.283333333333333,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.1296847
118667,2019-01-31,5,6,The Embarcadero at Sansome St,23.0,True,16,Steuart St at Market St,23.0,True,37.80477,-122.40323400000001,37.794129999999996,-122.39443,341,5.683333333333334,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.2178252
118668,2019-01-31,5,70,Central Ave at Fell St,31.0,True,73,Pierce St at Haight St,27.0,True,37.77331087889723,-122.44429260492323,37.7717933,-122.43370790000002,200,3.333333333333333,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0441211
118669,2019-01-31,5,71,Broderick St at Oak St,27.0,True,345,Hubbell St at 16th St,27.0,True,37.773062700000004,-122.4390777,37.76647421515012,-122.39829540252686,772,12.866666666666667,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0306919
118670,2019-01-31,5,84,Duboce Park,19.0,True,19,Post St at Kearny St,35.0,True,37.769200500000004,-122.4338119,37.788975,-122.403452,699,11.65,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0269396
118671,2019-01-31,5,86,Market St at Dolores St,19.0,True,16,Steuart St at Market St,23.0,True,37.76930529999999,-122.4268256,37.794129999999996,-122.39443,784,13.066666666666665,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0240483
118672,2019-01-31,5,9,Broadway at Battery St,19.0,True,61,Howard St at 8th St,27.0,True,37.798572108462565,-122.40086898207666,37.7765126,-122.4113061,916,15.266666666666667,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.0551951
118673,2019-01-31,5,90,Townsend St at 7th St,27.0,True,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23.0,True,37.771058000000004,-122.402717,37.776639200000005,-122.3955263,157,2.6166666666666667,1,1,0,2019-01-31 05:00:00 UTC,2019-01-31 05:56:00 UTC,56.0,10.0,0.0,0,0,0,0,1,0,0,1.212294
118674,2019-01-31,6,100,Bryant St at 15th St,19.0,True,102,Irwin St at 8th St,27.0,True,37.7671004,-122.41066200000002,37.7668828,-122.3995794,406,6.766666666666667,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,1.0202944
118675,2019-01-31,6,102,Irwin St at 8th St,27.0,True,345,Hubbell St at 16th St,27.0,True,37.7668828,-122.3995794,37.76647421515012,-122.39829540252686,63,1.05,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,0.99925053
118676,2019-01-31,6,104,4th St at 16th St,35.0,True,27,Beale St at Harrison St,23.0,True,37.76704457969368,-122.39083349704742,37.7880593,-122.39186480000001,561,9.35,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,1.0892541
118677,2019-01-31,6,107,17th St at Dolores St,23.0,True,21,Montgomery St BART Station (Market St at 2nd St),39.0,True,37.7630152,-122.42649679999998,37.7896254,-122.400811,976,16.266666666666666,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,1.0871496
118678,2019-01-31,6,107,17th St at Dolores St,23.0,True,368,Myrtle St at Polk St,27.0,True,37.7630152,-122.42649679999998,37.785433827868225,-122.41962164640428,632,10.533333333333333,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,1.0183663
118679,2019-01-31,6,107,17th St at Dolores St,23.0,True,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23.0,True,37.7630152,-122.42649679999998,37.776639200000005,-122.3955263,644,10.733333333333333,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,1.1782095
118680,2019-01-31,6,109,17th St at Valencia St,23.0,True,58,Market St at 10th St,31.0,True,37.7633158,-122.4219039,37.776619000000004,-122.41738500000001,350,5.833333333333332,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,1.0596902
118681,2019-01-31,6,11,Davis St at Jackson St,35.0,True,112,Harrison St at 17th St,19.0,True,37.79728,-122.398436,37.7638471,-122.41300359999998,999,16.65,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,1.0174716
118682,2019-01-31,6,113,Franklin Square,19.0,True,139,Garfield Square (25th St at Harrison St),23.0,True,37.764555,-122.41034499999999,37.751017100000006,-122.4119009,312,5.2,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,1.0343252
118683,2019-01-31,6,114,Rhode Island St at 17th St,19.0,True,116,Mississippi St at 17th St,31.0,True,37.7644783,-122.40257009999999,37.764802200000005,-122.3947713,495,8.25,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,1.0205816
118684,2019-01-31,6,114,Rhode Island St at 17th St,19.0,True,15,San Francisco Ferry Building (Harry Bridges Plaza),38.0,True,37.7644783,-122.40257009999999,37.795392,-122.394203,932,15.533333333333333,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,1.0629594
118685,2019-01-31,6,115,Jackson Playground,27.0,True,130,22nd St Caltrain Station,31.0,True,37.7650259,-122.39877340000001,37.75771842163036,-122.39181250333785,288,4.8,1,1,0,2019-01-31 06:00:00 UTC,2019-01-31 06:56:00 UTC,58.0,8.0,0.0,0,0,0,0,1,0,0,1.0104353
