start_date,Time,temperature,wind,precipi_
2018-06-04,4:53 PM,54 F,14 mph,0.0 in
2018-06-05,5:53 PM,54 F,14 mph,0.0 in
2018-06-05,6:53 PM,54 F,9 mph,0.0 in
2018-06-05,7:53 PM,53 F,5 mph,0.0 in
2018-06-05,8:53 PM,53 F,5 mph,0.0 in
2018-06-05,9:53 PM,51 F,0 mph,0.0 in
2018-06-05,10:53 PM,52 F,13 mph,0.0 in
2018-06-05,11:53 PM,53 F,12 mph,0.0 in
2018-06-05,12:53 AM,55 F,13 mph,0.0 in
2018-06-05,1:53 AM,56 F,7 mph,0.0 in
2018-06-05,2:53 AM,57 F,5 mph,0.0 in
2018-06-05,3:53 AM,59 F,7 mph,0.0 in
2018-06-05,4:53 AM,60 F,13 mph,0.0 in
2018-06-05,5:53 AM,63 F,16 mph,0.0 in
2018-06-05,6:53 AM,64 F,13 mph,0.0 in
2018-06-05,7:53 AM,64 F,15 mph,0.0 in
2018-06-05,8:53 AM,64 F,16 mph,0.0 in
2018-06-05,9:53 AM,63 F,17 mph,0.0 in
2018-06-05,10:53 AM,61 F,20 mph,0.0 in
2018-06-05,11:53 AM,59 F,17 mph,0.0 in
2018-06-05,12:53 PM,57 F,16 mph,0.0 in
2018-06-05,1:53 PM,56 F,10 mph,0.0 in
2018-06-05,2:53 PM,55 F,0 mph,0.0 in
2018-06-05,3:53 PM,55 F,0 mph,0.0 in
2018-06-05,4:53 PM,54 F,16 mph,0.0 in
2018-06-06,5:53 PM,53 F,16 mph,0.0 in
2018-06-06,6:53 PM,54 F,12 mph,0.0 in
2018-06-06,7:53 PM,53 F,5 mph,0.0 in
2018-06-06,8:53 PM,53 F,7 mph,0.0 in
2018-06-06,9:53 PM,53 F,12 mph,0.0 in
2018-06-06,10:53 PM,53 F,9 mph,0.0 in
2018-06-06,11:53 PM,53 F,12 mph,0.0 in
2018-06-06,12:53 AM,54 F,13 mph,0.0 in
2018-06-06,1:53 AM,55 F,10 mph,0.0 in
2018-06-06,2:53 AM,58 F,12 mph,0.0 in
2018-06-06,3:53 AM,58 F,10 mph,0.0 in
2018-06-06,4:53 AM,61 F,18 mph,0.0 in
2018-06-06,5:53 AM,62 F,16 mph,0.0 in
2018-06-06,6:53 AM,62 F,18 mph,0.0 in
2018-06-06,7:53 AM,62 F,17 mph,0.0 in
2018-06-06,8:53 AM,62 F,17 mph,0.0 in
2018-06-06,9:53 AM,61 F,17 mph,0.0 in
2018-06-06,10:53 AM,61 F,21 mph,0.0 in
2018-06-06,11:53 AM,60 F,22 mph,0.0 in
2018-06-06,12:53 PM,58 F,21 mph,0.0 in
2018-06-06,1:53 PM,57 F,16 mph,0.0 in
2018-06-06,2:53 PM,56 F,15 mph,0.0 in
2018-06-06,3:53 PM,56 F,17 mph,0.0 in
2018-06-06,4:53 PM,56 F,16 mph,0.0 in
2018-06-07,5:53 PM,55 F,12 mph,0.0 in
2018-06-07,6:53 PM,55 F,12 mph,0.0 in
2018-06-07,7:53 PM,55 F,9 mph,0.0 in
2018-06-07,8:53 PM,54 F,13 mph,0.0 in
2018-06-07,9:53 PM,54 F,14 mph,0.0 in
2018-06-07,10:53 PM,54 F,14 mph,0.0 in
2018-06-07,11:53 PM,55 F,14 mph,0.0 in
2018-06-07,12:53 AM,55 F,13 mph,0.0 in
2018-06-07,1:53 AM,56 F,13 mph,0.0 in
2018-06-07,2:53 AM,58 F,13 mph,0.0 in
2018-06-07,3:53 AM,59 F,13 mph,0.0 in
2018-06-07,4:53 AM,62 F,14 mph,0.0 in
2018-06-07,5:53 AM,63 F,16 mph,0.0 in
2018-06-07,6:53 AM,64 F,15 mph,0.0 in
2018-06-07,7:53 AM,64 F,15 mph,0.0 in
2018-06-07,8:53 AM,64 F,16 mph,0.0 in
2018-06-07,9:53 AM,64 F,13 mph,0.0 in
2018-06-07,10:53 AM,63 F,21 mph,0.0 in
2018-06-07,11:53 AM,62 F,16 mph,0.0 in
2018-06-07,12:53 PM,60 F,14 mph,0.0 in
2018-06-07,1:53 PM,58 F,9 mph,0.0 in
2018-06-07,2:53 PM,57 F,7 mph,0.0 in
2018-06-07,3:53 PM,57 F,6 mph,0.0 in
2018-06-07,4:53 PM,56 F,9 mph,0.0 in
2018-06-08,5:53 PM,56 F,10 mph,0.0 in
2018-06-08,6:53 PM,55 F,15 mph,0.0 in
2018-06-08,7:53 PM,54 F,12 mph,0.0 in
2018-06-08,8:53 PM,54 F,0 mph,0.0 in
2018-06-08,9:53 PM,52 F,3 mph,0.0 in
2018-06-08,10:53 PM,51 F,0 mph,0.0 in
2018-06-08,11:53 PM,55 F,10 mph,0.0 in
2018-06-08,12:53 AM,57 F,0 mph,0.0 in
2018-06-08,1:53 AM,60 F,0 mph,0.0 in
2018-06-08,2:53 AM,61 F,8 mph,0.0 in
2018-06-08,3:53 AM,62 F,8 mph,0.0 in
2018-06-08,4:53 AM,65 F,10 mph,0.0 in
2018-06-08,5:53 AM,66 F,16 mph,0.0 in
2018-06-08,6:53 AM,65 F,12 mph,0.0 in
2018-06-08,7:53 AM,67 F,16 mph,0.0 in
2018-06-08,8:53 AM,67 F,21 mph,0.0 in
2018-06-08,9:53 AM,64 F,16 mph,0.0 in
2018-06-08,10:53 AM,62 F,17 mph,0.0 in
2018-06-08,11:53 AM,62 F,20 mph,0.0 in
2018-06-08,12:53 PM,60 F,13 mph,0.0 in
2018-06-08,1:53 PM,59 F,12 mph,0.0 in
2018-06-08,2:53 PM,58 F,9 mph,0.0 in
2018-06-08,3:53 PM,57 F,12 mph,0.0 in
2018-06-08,4:53 PM,57 F,10 mph,0.0 in
2018-06-09,5:53 PM,56 F,10 mph,0.0 in
2018-06-09,6:53 PM,55 F,15 mph,0.0 in
2018-06-09,7:53 PM,57 F,12 mph,0.0 in
2018-06-09,8:53 PM,58 F,13 mph,0.0 in
2018-06-09,9:53 PM,57 F,9 mph,0.0 in
2018-06-09,10:53 PM,57 F,9 mph,0.0 in
