station_id,station_name,station_latitude,station_longitude,cluster
100,Bryant St at 15th St,37.7671004,-122.41066200000002,11
110,17th & Folsom Street Park (17th St at Folsom St),37.7637085,-122.41520420000002,11
16,Steuart St at Market St,37.794129999999996,-122.39443,0
343,Bryant St at 2nd St,37.783171989315306,-122.39357203245164,13
36,Folsom St at 3rd St,37.78383,-122.39887,7
44,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7810737,-122.4117382,1
5,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.40844488143921,1
81,Berry St at 4th St,37.77588,-122.39317,8
134,Valencia St at 24th St,37.7524278,-122.42062779999999,7
53,Grove St at Divisadero,37.775946000000005,-122.4377775,15
60,8th St at Ringold St,37.774520401136854,-122.4094493687153,13
80,Townsend St at 5th St,37.7753058,-122.39738,10
80,Townsend St at 5th St,37.77523486860596,-122.39743709564208,10
109,17th St at Valencia St,37.7633158,-122.4219039,12
19,Post St at Kearny St,37.788975,-122.403452,9
21,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,1
223,16th St Mission BART Station 2,37.764765215497704,-122.42009103298186,11
3,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553955,13
324,Union Square (Powell St at Post St),37.78829997815083,-122.40853071212769,9
66,3rd St at Townsend St,37.77874161153677,-122.39274082710837,8
10,Washington St at Kearny St,37.795392937254526,-122.4047702550888,9
133,Valencia St at 22nd St,37.7552126,-122.42097520000002,8
107,17th St at Dolores St,37.7630152,-122.42649679999998,11
108,16th St Mission BART,37.76471008581913,-122.41995692253113,6
130,22nd St Caltrain Station,37.75736899005735,-122.3920565843582,7
130,22nd St Caltrain Station,37.75771842163036,-122.39181250333785,7
130,22nd St Caltrain Station,37.75728840784085,-122.3920512199402,7
137,Jersey St at Castro St,37.750506,-122.4339496,14
139,Garfield Square (25th St at Harrison St),37.751017100000006,-122.4119009,11
141,Valencia St at Cesar Chavez St,37.747998100000004,-122.42021869999999,11
17,Embarcadero BART Station (Beale St at Market St),37.792251,-122.39708600000002,0
27,Beale St at Harrison St,37.7880593,-122.39186480000001,0
