station_id,station_name,station_latitude,station_longitude,cluster
70,Central Ave at Fell St,37.77331087889723,-122.44429260492323,9
72,Page St at Scott St,37.772406,-122.4356498,0
79,7th St at Brannan St,37.773491899999996,-122.40367250000001,1
89,Division St at Potrero Ave,37.76921786152374,-122.40764558315277,5
97,14th St at Mission St,37.7682646,-122.4201102,0
139,Garfield Square (25th St at Harrison St),37.751017100000006,-122.4119009,5
144,Precita Park,37.747299600000005,-122.41140290000001,5
17,Embarcadero BART Station (Beale St at Market St),37.792251,-122.39708600000002,4
355,23rd St at Tennessee St,37.75536713215853,-122.38879501819609,9
37,2nd St at Folsom St,37.78499972833808,-122.39593561749642,4
371,Lombard St at Columbus Ave,37.80274615250053,-122.41357862949371,3
63,Bryant St at 6th St,37.77591022233337,-122.40257500673576,7
91,Berry St at King St,37.77176211031317,-122.39843755960464,2
108,16th St Mission BART,37.76471008581913,-122.41995692253113,2
110,17th & Folsom Street Park (17th St at Folsom St),37.7637085,-122.41520420000002,2
112,Harrison St at 17th St,37.7638471,-122.41300359999998,0
125,20th St at Bryant St,37.7592005,-122.409851,1
147,29th St at Tiffany Ave,37.744066700000005,-122.42147220000001,7
33,Golden Gate Ave at Hyde St,37.7816495,-122.4154077,6
349,Howard St at Mary St,37.78100971717512,-122.40566611289978,4
362,Lane St at Revere Ave,37.73172669352171,-122.39005565643312,7
370,Jones St at Post St,37.7873267660624,-122.41327822208405,3
380,Masonic Ave at Turk St,37.779046658472055,-122.44729131460188,8
106,Sanchez St at 17th St,37.7632417,-122.4306746,8
113,Franklin Square,37.764555,-122.41034499999999,5
115,Jackson Playground,37.7650259,-122.39877340000001,5
116,Mississippi St at 17th St,37.764802200000005,-122.3947713,9
123,Folsom St at 19th St,37.7605936,-122.41481709999998,2
142,Guerrero Park,37.74573879618333,-122.42214024066924,2
145,29th St at Church St,37.7436839,-122.42680590000002,7
350,8th St at Brannan St,37.77143136292109,-122.40578681230544,4
39,Scott St at Golden Gate Ave,37.778999400000004,-122.4368608,8
55,Webster St at Grove St,37.7770527,-122.4295585,6
8,The Embarcadero at Vallejo St,37.799953,-122.398525,8
101,15th St at Potrero Ave,37.76707850458367,-122.40735858678819,1
132,24th St at Chattanooga St,37.751819399999995,-122.42661389999999,1
365,Turk St at Fillmore St,37.78045005996349,-122.43194639682768,5
146,30th St at San Jose Ave,37.7423139,-122.42318049999999,7
358,Williams Ave at 3rd St,37.72927865173028,-122.39289611577988,7
84,Duboce Park,37.769200500000004,-122.4338119,6
90,Townsend St at 7th St,37.771058000000004,-122.402717,4
9,Broadway at Battery St,37.798572108462565,-122.40086898207666,2
359,Williams Ave at Apollo St,37.730167508150885,-122.39896327257156,6
363,Salesforce Transit Center (Natoma St at 2nd St),37.78749210438603,-122.3982846736908,7
360,Newhall St at 3rd St,37.738571871267254,-122.38961778581141,7
61,Howard St at 8th St,37.7765126,-122.4113061,4
383,Golden Gate Ave at Franklin St,37.780787126746205,-122.42193371057509,5
361,Mendell St at Fairfax Ave,37.73985301798413,-122.38565549254416,8
356,Valencia St at Clinton Park,37.769188178104585,-122.42228507995605,0
80,Townsend St at 5th St,37.77523486860596,-122.39743709564208,1
131,22nd St at Dolores St,37.75500026037813,-122.42572769522668,7
54,Alamo Square (Steiner St at Fulton St),37.777546770173224,-122.43327409029007,7
