,start_date,station_id,station_cap,station_has_kiosk,trip_count_out,trip_count_in,trip_count_net,trip_count_net_prev7,trip_count_net_prev14,trip_count_net_prev21,trip_count_net_prev28,trip_count_net_7d_mean,trip_count_net_7d_mean_all,trip_count_net_weekly_mean,start_period_afternoon,start_period_evening,start_period_morning,start_period_overnight,station_cluster_0,station_cluster_1,station_cluster_2,station_cluster_3,station_cluster_4,station_cluster_5,station_cluster_6,station_cluster_7,station_cluster_8,start_dow_Friday,start_dow_Monday,start_dow_Saturday,start_dow_Sunday,start_dow_Thursday,start_dow_Tuesday,start_dow_Wednesday,trip_count_predicted
94008,2019-03-01 00:00:00+00:00,26,23,True,16.0,16.0,0.0,2.0,0.0,-8.0,3.0,-2.1666666666666665,-0.3333333333333333,-0.75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1.0
94009,2019-03-01 00:00:00+00:00,27,23,True,37.0,54.0,17.0,21.0,17.0,12.0,-4.0,8.5,0.5833333333333334,11.5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11.0
94010,2019-03-01 00:00:00+00:00,28,19,True,19.0,18.0,-1.0,-4.0,0.0,4.0,-2.0,2.0,-0.5,-0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
94011,2019-03-01 00:00:00+00:00,29,27,True,9.0,13.0,4.0,3.0,2.0,2.0,2.0,0.6666666666666666,-1.0952380952380953,2.25,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
94012,2019-03-01 00:00:00+00:00,30,19,True,51.0,88.0,37.0,26.0,41.0,30.0,43.0,31.833333333333332,1.5263157894736843,35.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,37.0
94013,2019-03-01 00:00:00+00:00,31,27,True,9.0,7.0,-2.0,7.0,4.0,4.0,1.0,2.6666666666666665,0.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.0
94014,2019-03-01 00:00:00+00:00,33,23,True,3.0,7.0,4.0,1.0,-1.0,1.0,1.0,1.8333333333333333,0.55,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.0
94015,2019-03-01 00:00:00+00:00,34,23,True,5.0,7.0,2.0,0.0,5.0,-1.0,3.0,0.5,-0.36363636363636365,1.75,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.0
94016,2019-03-01 00:00:00+00:00,36,31,True,24.0,17.0,-7.0,-12.0,-11.0,6.0,-8.0,-5.833333333333333,0.36363636363636365,-6.25,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-7.0
94017,2019-03-01 00:00:00+00:00,39,27,True,2.0,2.0,0.0,-5.0,1.0,2.0,1.0,-0.3333333333333333,-1.0,-0.25,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0
