station_id,station_name,station_latitude,station_longitude,cluster
144,Precita Park,37.747299600000005,-122.41140290000001,2
146,30th St at San Jose Ave,37.7423139,-122.42318049999999,8
285,Webster St at O'Farrell St,37.78352083526095,-122.43115782737732,0
31,Raymond Kimbell Playground,37.78381270927813,-122.4345588684082,3
34,Father Alfred E Boeddeker Park,37.78398789999999,-122.41240800000001,7
349,Howard St at Mary St,37.78100971717512,-122.40566611289978,0
356,Valencia St at Clinton Park,37.769188178104585,-122.42228507995605,5
39,Scott St at Golden Gate Ave,37.778999400000004,-122.4368608,6
41,Golden Gate Ave at Polk St,37.78127,-122.41873999999999,0
42,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823000000001,3
52,McAllister St at Baker St,37.7774157,-122.4418376,0
56,Koshland Park,37.77341396997343,-122.427316904068,5
71,Broderick St at Oak St,37.773062700000004,-122.4390777,5
75,Market St at Franklin St,37.773793206088705,-122.42123901844023,5
76,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034,4
79,7th St at Brannan St,37.773491899999996,-122.40367250000001,3
84,Duboce Park,37.769200500000004,-122.4338119,5
87,Folsom St at 13th St,37.769757,-122.415674,2
9,Broadway at Battery St,37.798572108462565,-122.40086898207666,1
93,4th St at Mission Bay Blvd S,37.770407399999996,-122.39119840000002,4
98,Valencia St at 16th St,37.765052000000004,-122.42186609999999,5
102,Irwin St at 8th St,37.7668828,-122.3995794,6
105,16th St at Prosper St,37.764285,-122.43180420000002,5
106,Sanchez St at 17th St,37.7632417,-122.4306746,8
113,Franklin Square,37.764555,-122.41034499999999,7
124,19th St at Florida St,37.7604469,-122.410807,7
13,Commercial St at Montgomery St,37.794230999999996,-122.402923,2
138,Jersey St at Church St,37.7509004,-122.42741140000001,2
29,O'Farrell St at Divisadero St,37.7824046019341,-122.43944585323335,2
336,Potrero Ave and Mariposa St,37.76328094058097,-122.4073773622513,7
59,S Van Ness Ave at Market St,37.774814,-122.418954,5
63,Bryant St at 6th St,37.77591022233337,-122.40257500673576,3
73,Pierce St at Haight St,37.7717933,-122.43370790000002,5
8,The Embarcadero at Vallejo St,37.799953,-122.398525,1
99,Folsom St at 15th St,37.7670373,-122.41544250000001,2
49,S Park St at 3rd St,37.7807601,-122.39498940000001,1
78,Folsom St at 9th St,37.7737172,-122.41164669999999,4
364,Mission Rock St at 3rd St,37.77288579232439,-122.38994032144548,1
364,China Basin St at 3rd St,37.7719996,-122.38996979999999,1
363,Salesforce Transit Center (Natoma St at 2nd St),37.78749210438603,-122.3982846736908,0
365,Turk St at Fillmore St,37.78045005996349,-122.43194639682768,6
136,23rd St at San Bruno Ave,37.7544356,-122.40436389999999,7
362,Lane St at Revere Ave,37.73172669352171,-122.39005565643312,0
